descripcion,horas
Frontend Documentación Baja Actualización de la lista de tareas completadas en el gestor de proyectos,2
Frontend Desarrollo Baja Maquetación de un formulario de suscripción a la newsletter,7
Frontend Arreglo Media Ajuste de la respuesta visual de los botones al ser pulsados (feedback),5
Frontend Desarrollo Media Configuración de un proyecto base usando Vite y estructura de carpetas modular,8
Frontend Investigación Media Estudio del ciclo de vida de los componentes en React para manejo de efectos,10
Frontend Desarrollo Alta Creación de un catálogo de productos consumiendo datos de una API REST externa,24
Frontend Arreglo Baja Corrección de errores de renderizado en listas que no usan claves únicas o keys,4
Frontend Desarrollo Media Implementación de una barra de navegación dinámica que resalta la sección activa,7
Frontend Investigación Baja Lectura de documentación sobre librerías de componentes como MUI o Flowbite,5
Frontend Arreglo Media Solución de problemas de sincronización entre el estado global y los inputs,12
Frontend Refactorización Media Limpieza de peticiones fetch duplicadas mediante la creación de un servicio único,9
Frontend Desarrollo Alta Desarrollo de un carrito de compra que persiste los datos en sessionStorage,28
Frontend Documentación Baja Guía de pasos para ejecutar el proyecto en local usando npm install y dev,4
Frontend Desarrollo Baja Creación de un componente de tarjeta reutilizable para perfiles de usuario,6
Frontend Investigación Alta Investigación sobre la implementación de autenticación por tokens en el cliente,16
Frontend Desarrollo Media Desarrollo de un sistema de filtrado de noticias por fecha y autor,14
Frontend Arreglo Baja Reparación de estilos que se rompen al cambiar de vista o ruta,5
Frontend Desarrollo Alta Implementación de un formulario multi-paso con guardado de progreso intermedio,30
Frontend Refactorización Baja Actualización de versiones de dependencias en el archivo package.json,3
Frontend Arreglo Media Resolución de fallos al capturar errores de red en las peticiones a la API,8
Frontend Desarrollo Media Creación de un componente de alertas personalizadas para éxito y error,7
Frontend Investigación Media Pruebas de usabilidad con usuarios reales para detectar puntos de fricción,10
Frontend Documentación Media Manual de uso de los componentes UI creados para futuros desarrolladores,12
Frontend Desarrollo Baja Maquetación de una pantalla de configuración con interruptores de encendido y apagado,8
Frontend Arreglo Baja Corrección de márgenes y rellenos en botones de acción principal,3
Frontend Desarrollo Alta Desarrollo de un buscador con autocompletado que consulta a la API al escribir,20
Frontend Refactorización Alta Rediseño de la gestión de rutas pasando de rutas estáticas a dinámicas,18
Frontend Arreglo Media Solución de errores donde los datos no se actualizan tras una edición exitosa,9
Frontend Desarrollo Baja Añadir enlaces sociales con iconos que se abren en pestañas nuevas,3
Frontend Investigación Baja Búsqueda de un sistema de tipografías que mejore la legibilidad del sitio,5
Frontend Desarrollo Media Implementación de un modal de confirmación antes de borrar elementos sensibles,9
Frontend Arreglo Alta Reparación de fallos de seguridad relacionados con el manejo de datos en la URL,15
Frontend Documentación Baja Registro de comandos básicos para el despliegue de la web en producción,4
Frontend Desarrollo Baja Creación de un componente de pie de página estático con datos de contacto,5
Frontend Investigación Media Análisis de métricas de carga para optimizar el peso de los paquetes JS,10
Frontend Desarrollo Media Maquetación de un blog con sistema de lectura estimada según palabras,11
Frontend Arreglo Baja Reparación del botón de retroceso que no funciona en ciertos navegadores,4
Frontend Desarrollo Alta Implementación de un sistema de temas (Light/Dark) usando Context API,22
Frontend Refactorización Baja Optimización de los tiempos de respuesta eliminando logs de consola innecesarios,3
Frontend Arreglo Media Ajuste de imágenes de alta resolución para que no bloqueen el renderizado inicial,9
Frontend Desarrollo Media Creación de una página de agradecimiento tras completar una compra o registro,6
Frontend Investigación Alta Estudio sobre la implementación de Service Workers para soporte offline,20
Frontend Documentación Media Tutorial de cómo añadir nuevos endpoints al servicio de comunicación con la API,10
Frontend Desarrollo Baja Implementación de un botón flotante para acceso rápido a soporte técnico,5
Frontend Arreglo Baja Corrección de textos que se cortan en pantallas de móviles con poco ancho,4
Frontend Desarrollo Media Desarrollo de un componente de selección múltiple con buscador integrado,12
Frontend Arreglo Media Solución de errores al cerrar menús desplegables al hacer clic fuera de ellos,7
Frontend Desarrollo Alta Creación de un panel administrativo para la gestión de banners publicitarios,35
Frontend Refactorización Media Mejora de la lógica de filtrado pasando de filtros en cliente a filtros en servidor,16
Frontend Arreglo Baja Ajuste de la sensibilidad de los eventos de scroll para mejorar la fluidez,6
Frontend Desarrollo Media Creación de una sección de preguntas frecuentes con efecto de acordeón suave,9
Frontend Investigación Media Investigación de librerías para visualización de datos como D3.js,12
Frontend Documentación Baja Comentarios en el código detallando la lógica de los hooks personalizados,7
Frontend Desarrollo Baja Maquetación de una página de mantenimiento con contador de tiempo,8
Frontend Arreglo Media Solución de parpadeos en imágenes cargadas mediante enlaces externos,6
Frontend Desarrollo Alta Implementación de un sistema de registro de usuarios con validación de email,25
Frontend Refactorización Baja Actualización de la sintaxis de JavaScript a ES6+ para mayor claridad,5
Frontend Arreglo Baja Corrección de la posición de los mensajes de validación en formularios móviles,4
Frontend Desarrollo Media Diseño de un selector de archivos con previsualización de imagen previa a la subida,14
Frontend Investigación Alta Análisis de la viabilidad de usar Server Side Rendering (SSR) en el proyecto,18
Frontend Documentación Media Documentación sobre el manejo de errores globales en la aplicación web,8
Frontend Desarrollo Baja Añadir un sistema de migas de pan (breadcrumbs) para mejorar el SEO,5
Frontend Arreglo Media Reparación de enlaces que no dirigen correctamente tras un cambio de dominio,4
Frontend Desarrollo Alta Desarrollo de un sistema de votaciones con actualización de resultados en vivo,32
Frontend Refactorización Media Modularización de la lógica de validación para ser usada en múltiples vistas,11
Frontend Arreglo Baja Solución de problemas con el foco del teclado en elementos de formulario,3
Frontend Desarrollo Media Maquetación de un listado de empleados con filtros por departamento,12
Frontend Investigación Media Estudio de la competencia para proponer mejoras en la interfaz del producto,10
Frontend Documentación Alta Guía técnica sobre el despliegue automático usando integración continua,15
Frontend Desarrollo Baja Inclusión de un widget para compartir contenido en redes sociales,5
Frontend Arreglo Media Corrección de formularios que no envían todos los campos tras una edición parcial,8
Frontend Desarrollo Alta Creación de una herramienta de edición de imágenes básica (recorte y rotación),40
Frontend Refactorización Alta Sustitución de la gestión de estado manual por una librería como Redux o Pinia,45
Frontend Arreglo Baja Ajuste de la visualización de tablas en pantallas pequeñas mediante scroll horizontal,6
Frontend Desarrollo Media Implementación de una barra de búsqueda con histórico de términos recientes,11
Frontend Investigación Baja Lectura de artículos sobre tendencias de diseño UI para el año actual,4
Frontend Documentación Baja Bitácora de errores encontrados y soluciones aplicadas durante el desarrollo,6
Frontend Desarrollo Baja Creación de un mensaje de bienvenida emergente para nuevos visitantes,4
Frontend Arreglo Media Solución de errores donde los estilos CSS no se aplican en producción,8
Frontend Desarrollo Alta Implementación de una funcionalidad de búsqueda por voz usando la Web Speech API,28
Frontend Refactorización Media Reducción de la deuda técnica simplificando componentes demasiado grandes,15
Frontend Arreglo Baja Corrección de inconsistencias en el uso de iconos en diferentes pantallas,3
Frontend Desarrollo Media Diseño de una interfaz para la gestión de notificaciones del usuario,10
Frontend Investigación Media Análisis de la accesibilidad del sitio usando herramientas de lectura de pantalla,8
Frontend Documentación Media Manual explicativo de cómo integrar nuevas fuentes tipográficas al proyecto,5
Frontend Desarrollo Baja Implementación de un botón para imprimir el contenido de la pantalla,4
Frontend Arreglo Media Resolución de problemas de caché que muestran versiones antiguas de la web,7
Frontend Desarrollo Alta Desarrollo de un juego sencillo (tipo cuestionario) integrado en la plataforma,25
Frontend Refactorización Baja Cambio de nombres de clases CSS genéricas por identificadores más específicos,5
Frontend Arreglo Baja Ajuste de alineación en los elementos de la lista de deseos del usuario,3
Frontend Desarrollo Media Creación de una página de resultados de búsqueda con paginación funcional,14
Frontend Investigación Alta Prototipado en alta fidelidad de la versión móvil de la aplicación completa,20
Frontend Documentación Alta Informe técnico sobre la optimización de activos y tiempos de carga finales,14
Frontend Desarrollo Baja Integración de un widget de reproducción de vídeos de YouTube,6
Frontend Arreglo Media Solución de problemas al cargar scripts de terceros de forma asíncrona,7
Frontend Desarrollo Alta Implementación de una funcionalidad de comparación de productos en paralelo,30
Frontend Refactorización Media Mejora de la mantenibilidad del código separando tipos y constantes,9
Frontend Arreglo Baja Corrección de saltos visuales al cargar fuentes personalizadas,4
Frontend Desarrollo Media Creación de una sección de ayuda con buscador y categorías desplegables,13
Frontend Investigación Media Estudio sobre el impacto de las imágenes en el rendimiento del sitio móvil,8
Frontend Documentación Baja Actualización de las dependencias de seguridad sugeridas por el repositorio,3
Frontend Desarrollo Baja Maquetación de un formulario simple para recoger sugerencias de usuarios,6
Frontend Arreglo Media Ajuste de la respuesta táctil en elementos interactivos para tablets,5
Frontend Investigación Baja Lectura sobre qué es el SEO y cómo influyen las etiquetas meta en Google,4
Frontend Desarrollo Baja Configuración de etiquetas de título y descripción para todas las páginas del sitio,6
Frontend Desarrollo Media Implementación de etiquetas ALT en todas las imágenes para mejorar la accesibilidad,5
Frontend Arreglo Baja Corrección de enlaces que no tienen el atributo de seguridad para abrir en nueva pestaña,3
Frontend Investigación Media Estudio de herramientas de testing como Jest o Cypress para principiantes,8
Frontend Desarrollo Media Creación de una prueba simple para verificar que el formulario de login no se envía vacío,10
Frontend Arreglo Media Solución de errores en los que las animaciones de carga se quedan bucle infinito,7
Frontend Desarrollo Baja Aplicación de efectos de transición suave al cambiar el color de los botones,5
Frontend Refactorización Media Organización de las imágenes del proyecto en carpetas por categorías y tamaños,6
Frontend Documentación Baja Creación de una lista de comprobación (checklist) para revisar el SEO antes de publicar,4
Frontend Desarrollo Media Implementación de carga perezosa (lazy load) en imágenes para que la web cargue más rápido,9
Frontend Arreglo Baja Reparación de textos que se ven borrosos al aplicar efectos de movimiento con CSS,4
Frontend Desarrollo Alta Creación de una pequeña animación que guíe al usuario hacia el botón de compra,15
Frontend Investigación Alta Investigación sobre cómo hacer que una web se vea bien al compartir el enlace en redes sociales,12
Frontend Arreglo Media Ajuste de los tiempos de espera en las animaciones para que no resulten molestas al usuario,6
Frontend Desarrollo Baja Inserción de iconos sociales que cambian de tamaño suavemente al pasar el ratón,4
Frontend Refactorización Baja Cambio de nombres de archivos de imagen genéricos por nombres descriptivos para SEO,5
Frontend Desarrollo Media Desarrollo de una pantalla de carga con un logotipo que pulsa mientras llega la información,8
Frontend Testing Media Verificación manual de que todos los botones de la web funcionan en diferentes navegadores,10
Frontend Documentación Media Redacción de un informe sobre los errores de SEO detectados con herramientas online,7
Frontend Desarrollo Alta Implementación de un sistema de filtrado que aparece con un desplazamiento lateral suave,18
Frontend Arreglo Baja Corrección de errores de contraste de color detectados por las herramientas de accesibilidad,5
Frontend Desarrollo Media Creación de un efecto de "esqueleto" (skeleton screen) mientras se cargan los datos,12
Frontend Investigación Baja Búsqueda de palabras clave relacionadas con el proyecto para mejorar los textos,6
Frontend Arreglo Media Solución de problemas donde las animaciones tapan otros elementos importantes,8
Frontend Desarrollo Baja Configuración del archivo robots.txt para decir a los buscadores qué indexar,4
Frontend Refactorización Media Sustitución de animaciones hechas con JavaScript por animaciones CSS más ligeras,10
Frontend Desarrollo Alta Creación de una prueba automática que compruebe que el carrito suma correctamente,22
Frontend Arreglo Baja Reparación de efectos de sombra que desaparecen al hacer scroll en el móvil,3
Frontend Documentación Baja Registro de todas las librerías externas de diseño utilizadas y sus versiones,4
Frontend Desarrollo Media Implementación de una barra de lectura que se llena según bajas por el artículo,10
Frontend Investigación Media Análisis de por qué algunas imágenes tardan tanto en aparecer y propuesta de solución,7
Frontend Desarrollo Baja Creación de un mapa del sitio (sitemap) básico para facilitar el rastreo de Google,5
Frontend Arreglo Media Corrección de elementos que "saltan" de posición al terminar de cargarse la página,9
Frontend Desarrollo Alta Desarrollo de una galería donde las imágenes se expanden suavemente al seleccionarlas,20
Frontend Refactorización Baja Limpieza de etiquetas HTML antiguas que ya no se usan y ensucian el código,6
Frontend Arreglo Baja Ajuste de la velocidad de los carruseles de fotos para que dé tiempo a leer el texto,5
Frontend Desarrollo Media Implementación de un botón de "Compartir" que abra las apps nativas del móvil,8
Frontend Investigación Alta Estudio de cómo influye la velocidad de carga en el posicionamiento de la web,12
Frontend Documentación Media Manual paso a paso para que otros compañeros sepan cómo subir imágenes optimizadas,8
Frontend Desarrollo Baja Configuración de la dirección de los textos para que se lean bien en todos los idiomas,4
Frontend Arreglo Media Solución de errores donde los vídeos se cortan al girar el móvil de vertical a horizontal,7
Frontend Desarrollo Alta Creación de una animación compleja para la bienvenida de la aplicación,25
Frontend Refactorización Media Mejora de la estructura de encabezados H1 H2 y H3 para seguir una jerarquía lógica,7
Frontend Arreglo Baja Corrección de la posición de los iconos de cierre en las ventanas emergentes,3
Frontend Desarrollo Media Implementación de un aviso de cookies con una animación de entrada desde abajo,6
Frontend Investigación Media Prueba de diferentes formatos de video para ver cuál ocupa menos espacio sin perder calidad,9
Frontend Documentación Baja Creación de un glosario con los términos técnicos de diseño usados en el equipo,5
Frontend Desarrollo Baja Añadir etiquetas de idioma al código para que los lectores de pantalla funcionen bien,3
Frontend Arreglo Media Reparación de botones que no responden al primer toque en dispositivos táctiles,6
Frontend Desarrollo Alta Implementación de un sistema de "arrastrar para refrescar" en el listado principal,22
Frontend Refactorización Baja Eliminación de librerías de animaciones pesadas y sustitución por código propio,10
Frontend Arreglo Baja Ajuste de los márgenes en los bloques de texto para mejorar la lectura en tablets,4
Frontend Desarrollo Media Creación de un efecto de zoom suave cuando el usuario hace clic en una imagen,9
Frontend Investigación Media Investigación sobre el uso de formatos de imagen vectoriales (SVG) frente a PNG,7
Frontend Documentación Media Documentación sobre cómo se han configurado los avisos de error en la web,6
Frontend Desarrollo Baja Implementación de un sistema de búsqueda simple que ignore mayúsculas y minúsculas,8
Frontend Arreglo Media Solución de parpadeos en el menú al navegar entre las distintas secciones,7
Frontend Desarrollo Alta Desarrollo de un cuestionario interactivo con transiciones entre preguntas,24
Frontend Refactorización Media Reorganización de las hojas de estilo para separar los colores de las estructuras,9
Frontend Arreglo Baja Corrección de la visibilidad de los enlaces dentro de bloques de texto oscuros,3
Frontend Desarrollo Media Creación de una página de agradecimiento que se anima al confirmar un envío,8
Frontend Investigación Media Estudio de cómo se ven las fuentes tipográficas en sistemas Windows frente a Mac,6
Frontend Documentación Alta Informe de accesibilidad detallando qué puntos se han cumplido y cuáles no,12
Frontend Desarrollo Baja Añadir botones de redes sociales que cambian de color con un fundido,5
Frontend Arreglo Media Corrección de formularios que se envían dos veces por un error en el botón,8
Frontend Desarrollo Alta Implementación de un buscador que muestra los resultados con una animación de cascada,20
Frontend Refactorización Alta Cambio de la forma en que se cargan los scripts para que no bloqueen la web,18
Frontend Arreglo Baja Ajuste de los iconos para que todos tengan el mismo tamaño y estilo visual,4
Frontend Desarrollo Media Implementación de un sistema de mensajes de error que aparecen sobre el campo vacío,9
Frontend Investigación Baja Búsqueda de ejemplos de buenas prácticas de diseño para paneles de control,5
Frontend Documentación Baja Listado de todas las imágenes que faltan por optimizar o cambiar de formato,3
Frontend Desarrollo Baja Creación de un cartel de "Oferta" con un pequeño brillo animado para llamar la atención,6
Frontend Arreglo Media Reparación de los bordes redondeados que no se ven bien en algunos navegadores,4
Frontend Desarrollo Alta Desarrollo de un sistema de pasos para un registro de usuario con animaciones,22
Frontend Refactorización Baja Mejora de la limpieza del código eliminando clases CSS que no se usan,6
Frontend Arreglo Baja Corrección de la separación entre párrafos para que el texto no se vea apretado,4
Frontend Desarrollo Media Creación de un menú de navegación que se oculta al bajar y aparece al subir,12
Frontend Investigación Alta Prototipado manual de cómo debería funcionar la web sin conexión a internet,14
Frontend Documentación Alta Guía técnica sobre cómo se han programado las animaciones del sitio,15
Frontend Desarrollo Baja Inclusión de un reproductor de video con controles personalizados y sencillos,10
Frontend Arreglo Media Solución de fallos donde las imágenes de fondo se cortan en pantallas grandes,7
Frontend Desarrollo Alta Implementación de un sistema de valoración donde las estrellas se iluminan al pasar,18
Frontend Refactorización Media Unificación de todos los mensajes de error en un solo archivo para traducirlos,9
Frontend Arreglo Baja Corrección de sombras en los botones que los hacían parecer desactivados,3
Frontend Desarrollo Media Creación de una página de perfil con pestañas que cambian sin recargar la web,12
Frontend Investigación Media Análisis del tiempo que tarda un usuario en encontrar el botón de contacto,8
Frontend Documentación Baja Registro de las pruebas realizadas en diferentes teléfonos móviles,4
Frontend Desarrollo Baja Maquetación de un cartel de aviso para cuando el servidor no responde,7
Frontend Arreglo Media Ajuste de la respuesta visual de los elementos al ser pulsados prolongadamente,5
Frontend Desarrollo Alta Creación de una animación de bienvenida que muestra el logo pieza a pieza,22
Frontend Refactorización Media Simplificación de la lógica de los menús para que sean fáciles de mantener,10
Frontend Arreglo Baja Reparación de iconos que se ven pixelados en pantallas de alta resolución,4
Frontend Desarrollo Media Implementación de un sistema de ayuda con burbujas de texto informativas,11
Frontend Investigación Media Estudio sobre qué colores transmiten más confianza en una web de ventas,6
Frontend Documentación Baja Actualización del archivo de cambios realizados en el diseño esta semana,3
Frontend Desarrollo Baja Maquetación de un formulario muy simple para pedir una cita previa,8
Frontend Arreglo Media Solución de errores en los que la web se queda en blanco un segundo al cargar,9
Frontend Desarrollo Alta Implementación de un sistema de "modo lectura" que cambia el fondo y la letra,20
Frontend Refactorización Media Revisión de todo el HTML para asegurar que cumple con las normas básicas de SEO,12
Frontend Desarrollo Baja Integración de un widget de Google Maps para mostrar la ubicación de la oficina,6
Frontend Arreglo Media Solución de errores en el formulario donde el botón de envío no se deshabilita tras el clic,5
Frontend Investigación Baja Búsqueda de librerías ligeras para mostrar notificaciones tipo alerta sin usar scripts pesados,4
Frontend Desarrollo Media Implementación de un sistema de "Copiar al portapapeles" para códigos de descuento,7
Frontend Arreglo Baja Ajuste de la posición de los modales para que siempre aparezcan centrados en la pantalla,4
Frontend Desarrollo Alta Desarrollo de un comparador visual de dos imágenes (antes y después) con un deslizador,22
Frontend Investigación Media Estudio de cómo integrar un feed de Instagram o Twitter de forma estática en la web,10
Frontend Arreglo Media Reparación de galerías de imágenes donde las miniaturas se deforman en pantallas panorámicas,8
Frontend Refactorización Baja Sustitución de etiquetas div genéricas por etiquetas semánticas como section o article,6
Frontend Documentación Baja Creación de una tabla con todos los enlaces externos utilizados y su propósito,4
Frontend Desarrollo Media Implementación de un buscador que filtre por etiquetas en lugar de por texto completo,12
Frontend Arreglo Baja Corrección de la tipografía en negrita que no se visualizaba correctamente en navegadores móviles,3
Frontend Desarrollo Alta Creación de un sistema de pasos para un carrito de compra con barra de progreso animada,25
Frontend Investigación Alta Investigación sobre el uso de animaciones Lottie para incluir iconos animados ligeros,14
Frontend Arreglo Media Solución de problemas de desbordamiento de texto en las tarjetas de descripción de producto,7
Frontend Desarrollo Baja Añadir un botón flotante de WhatsApp con un mensaje predefinido para contacto rápido,5
Frontend Refactorización Media Limpieza de archivos JavaScript antiguos que ya no están vinculados a ninguna página,8
Frontend Desarrollo Media Desarrollo de un contador de caracteres restante en los campos de comentarios,6
Frontend Testing Media Realización de pruebas de navegación usando solo el teclado para verificar la accesibilidad,9
Frontend Documentación Media Redacción de un documento con los problemas de diseño resueltos durante las prácticas,6
Frontend Desarrollo Alta Implementación de un sistema de filtrado de productos por múltiples categorías simultáneas,20
Frontend Arreglo Baja Corrección del color de los enlaces visitados para que no se confundan con el fondo,3
Frontend Desarrollo Media Creación de un componente de "Acordeón" para mostrar u ocultar detalles técnicos,10
Frontend Investigación Baja Lectura de guías de diseño sobre cómo organizar la información en pantallas de gestión,5
Frontend Arreglo Media Reparación de errores en los que el menú principal tapa el contenido al hacer scroll,7
Frontend Desarrollo Baja Configuración de una página de "Construcción" con una cuenta atrás para el lanzamiento,8
Frontend Refactorización Media Reemplazo de funciones anónimas por funciones con nombre para facilitar el depurado,7
Frontend Desarrollo Alta Creación de un gráfico circular simple para mostrar el porcentaje de stock disponible,18
Frontend Arreglo Baja Ajuste de los bordes redondeados en las imágenes para que coincidan con el diseño del sitio,4
